latitude,longitude,elevation,slope,aspect,rainfall_1h,rainfall_6h,rainfall_12h,rainfall_24h,rainfall_48h,rainfall_72h,antecedent_rainfall_3d,soil_moisture,temperature,humidity,distance_to_road_m,distance_to_river_m,historical_landslide_density,distance_to_previous_landslide_m,landslide_occurrence
26.10438,91.78716,196.8,23.3,56.2,0.9,2.3,2.8,5.0,8.9,13.6,4.6,0.383,20.0,83.3,74.0,231.6,0.312,1378.2,0
26.04032,91.79822,227.3,13.5,71.9,37.4,76.4,115.3,168.3,203.3,320.1,118.0,0.81,16.2,80.3,31.0,391.4,0.59,1000.4,1
26.03711,91.89314,152.3,24.3,271.9,3.1,27.7,37.8,55.2,79.3,124.2,43.8,0.493,24.5,90.3,73.9,767.3,0.788,524.3,0
26.12807,91.78337,30.0,23.5,59.5,3.2,9.0,28.4,35.8,58.1,85.9,30.2,0.437,19.8,95.5,138.1,460.3,0.375,82.9,0
25.33829,91.55056,1143.7,43.6,170.0,15.8,26.0,50.9,81.2,99.4,146.1,55.4,0.595,15.8,83.6,205.9,181.8,1.0,81.8,1
25.29032,91.68035,1494.9,36.3,250.1,1.2,3.2,7.2,9.8,14.2,26.7,8.7,0.237,20.0,48.7,65.2,466.0,0.91,188.7,0
25.54154,91.88027,1731.5,20.5,249.3,14.7,52.0,97.5,128.2,181.8,288.6,101.5,0.625,16.2,85.1,15.0,691.1,0.547,302.8,0
25.56114,91.88489,1507.2,30.6,87.1,1.6,7.4,10.2,14.3,27.0,46.0,14.8,0.228,18.3,70.1,50.9,351.0,0.656,33.0,0
25.58573,91.9324,1317.9,30.6,248.7,33.2,84.4,109.9,179.4,273.6,400.3,143.3,0.817,16.3,97.7,66.2,235.3,0.88,128.0,1
25.60733,91.90357,1505.2,27.5,319.6,6.8,13.7,21.2,27.4,34.9,63.1,21.6,0.314,20.6,58.5,450.6,439.0,0.395,22.1,0
23.72881,92.69106,1226.7,47.2,110.9,8.9,27.9,72.6,86.2,123.8,192.0,68.0,0.676,19.3,89.0,86.8,321.7,1.0,179.8,1
23.74,92.67252,962.1,47.4,5.6,1.6,3.3,4.8,5.6,11.5,23.0,6.9,0.227,21.5,50.1,75.1,562.7,0.969,668.7,0
23.76308,92.71169,1094.1,45.3,266.7,1.7,4.7,10.2,12.1,28.3,54.3,16.1,0.221,25.0,60.0,150.1,457.5,0.776,1511.3,0
23.8028,92.70795,1201.2,39.8,167.6,13.8,20.1,34.8,61.9,85.6,119.1,44.8,0.559,20.4,84.9,283.8,271.7,0.709,1368.4,1
23.77623,92.68613,981.1,35.9,156.1,0.3,0.9,2.1,2.9,16.7,18.4,5.9,0.185,25.2,52.2,32.9,420.3,0.665,570.5,0
11.57153,76.18434,905.9,35.7,57.1,1.9,9.3,22.9,27.2,35.5,41.1,17.2,0.438,20.7,86.2,85.0,247.4,0.928,28.7,0
10.07755,77.07786,1456.7,61.1,246.2,12.6,96.7,189.1,227.2,351.1,465.1,173.6,0.937,22.4,89.8,239.1,283.2,0.842,47.0,1
26.06521,91.77137,103.6,24.5,226.4,3.3,5.1,8.7,13.3,28.3,52.5,16.0,0.197,25.6,56.2,164.8,182.5,0.459,2864.0,0
26.11435,91.81462,130.9,19.6,324.9,16.8,43.1,87.1,153.8,273.1,418.1,141.7,0.804,21.3,92.2,62.7,451.9,0.59,208.0,0
26.12501,91.86801,211.0,33.0,254.1,3.0,6.5,9.9,11.6,20.2,26.8,9.7,0.286,28.0,49.4,72.6,319.8,0.731,628.4,0
26.09389,91.79605,148.1,22.1,126.1,0.9,3.4,4.4,6.6,13.2,26.2,7.9,0.179,21.0,62.1,168.1,618.6,0.444,1259.4,0
25.32266,91.56278,1124.6,23.8,157.1,7.2,15.1,23.4,38.1,56.6,84.2,30.1,0.273,24.8,47.3,39.5,121.7,0.815,228.8,0
25.2386,91.7834,1500.8,37.4,345.1,3.4,10.0,22.5,32.6,46.0,65.1,24.1,0.386,17.9,94.6,122.3,136.6,0.744,1917.9,0
25.6361,91.93928,1358.9,25.6,349.2,3.0,7.7,12.4,18.2,19.3,45.3,14.6,0.295,21.5,68.1,243.7,834.2,0.604,242.3,0
25.5131,91.92374,1603.3,39.5,128.9,16.3,56.1,72.2,112.4,189.9,301.1,101.7,0.653,23.0,87.6,142.8,473.0,0.666,733.5,1
25.64174,91.8996,1308.8,37.7,162.3,0.6,1.8,3.0,3.5,12.7,38.0,9.6,0.261,22.0,55.4,26.8,320.0,0.761,291.0,0
25.68397,91.83644,1463.0,34.4,64.8,1.4,2.4,4.7,5.3,17.3,24.1,7.6,0.178,24.3,55.4,37.6,529.3,0.378,2817.8,0
23.76295,92.68735,1146.7,35.0,247.6,0.6,5.7,6.4,11.1,17.3,27.6,9.5,0.383,20.2,84.3,132.2,333.7,0.956,724.7,1
23.80034,92.72649,1052.1,42.4,143.0,20.7,63.7,73.2,126.9,193.1,242.3,93.1,0.7,13.2,86.4,93.7,248.0,1.0,445.0,1
23.77445,92.66974,1146.9,45.4,218.7,14.5,27.2,49.2,84.8,109.6,138.1,55.5,0.598,17.2,85.1,37.2,640.6,0.667,65.4,1
23.78947,92.73324,1167.4,39.8,349.0,1.9,6.0,13.6,17.0,35.6,52.3,17.4,0.17,23.7,68.1,31.6,238.7,0.772,190.9,1
23.62207,92.65865,928.9,41.3,173.2,6.1,18.0,31.1,43.5,57.4,83.7,31.2,0.522,24.9,94.3,34.0,675.3,0.602,1171.8,1
11.53351,76.08294,927.3,39.6,17.3,4.2,9.5,14.9,17.6,21.3,28.4,11.3,0.268,23.6,54.5,106.0,262.3,1.0,1254.1,0
10.07496,76.97808,1301.1,51.1,140.9,18.2,43.4,74.4,114.5,187.6,274.2,96.5,0.736,21.9,90.3,497.7,419.4,0.817,802.8,1
26.07468,91.77711,222.3,19.1,271.7,35.1,46.1,107.1,160.0,268.5,326.9,124.2,0.838,19.0,93.0,127.0,297.6,0.319,606.8,1
26.06983,91.83597,38.7,27.0,341.0,6.8,31.8,74.8,97.4,151.5,181.2,70.8,0.527,20.4,81.2,16.4,366.5,0.604,1563.9,0
26.03848,91.86354,150.7,29.1,301.5,22.6,49.6,76.0,134.3,188.1,284.3,102.5,0.778,15.7,96.6,49.0,343.9,0.723,185.4,1
26.16342,91.7714,30.0,19.4,329.3,9.1,30.3,68.0,96.5,172.2,233.7,83.3,0.638,24.7,89.6,76.3,453.4,0.414,433.0,1
25.34424,91.57046,950.1,35.9,225.0,14.4,109.9,156.2,227.7,344.9,465.1,173.1,0.98,13.6,82.8,41.1,381.8,0.888,191.7,1
